,P1,P2,output_KNN_K5
1500,928,1316,1
1501,911,1311,1
1502,918,1346,1
1503,1227,1269,0
1504,928,1319,1
1505,1225,1280,0
1506,1247,1294,0
1507,903,1315,1
1508,907,1345,1
1509,904,1312,1
1510,846,879,1
1511,931,1334,1
1512,930,1313,1
1513,832,873,1
1514,854,893,1
1515,857,887,1
1516,831,869,1
1517,840,879,1
1518,859,869,1
1519,1236,1294,0
1520,844,893,1
1521,926,1324,1
1522,864,889,1
1523,921,1304,1
1524,905,1334,1
1525,921,1328,1
1526,907,1319,1
1527,946,1319,1
1528,909,1344,1
1529,925,1337,1
1530,924,1324,1
1531,852,882,1
1532,1227,1289,0
1533,927,1333,1
1534,946,1307,1
1535,862,881,1
1536,859,870,1
1537,926,1328,1
1538,906,1330,1
1539,1259,1267,0
1540,1259,1271,0
1541,1231,1284,0
1542,926,1329,1
1543,1258,1281,0
1544,927,1325,1
1545,929,1306,1
1546,832,885,1
1547,908,1339,1
1548,1252,1275,0
1549,1244,1285,0
1550,836,896,1
1551,1264,1281,0
1552,845,880,1
1553,840,890,1
1554,1228,1283,0
1555,945,1310,1
1556,937,1339,1
1557,1249,1270,0
1558,1262,1279,0
1559,904,1316,1
1560,926,1326,1
1561,933,1332,1
1562,1238,1278,0
1563,905,1309,1
1564,922,1308,1
1565,835,884,1
1566,1264,1285,0
1567,906,1307,1
1568,1236,1284,0
1569,929,1312,1
1570,1253,1267,0
1571,905,1333,1
1572,935,1307,1
1573,1252,1274,0
1574,918,1331,1
1575,1236,1266,0
1576,1236,1293,0
1577,1227,1276,0
1578,830,882,1
1579,847,881,1
1580,845,898,1
1581,902,1323,1
1582,928,1345,1
1583,921,1305,1
1584,847,866,1
1585,930,1309,1
1586,833,873,1
1587,851,867,1
1588,942,1316,1
1589,828,887,1
1590,1227,1278,0
1591,915,1348,1
1592,830,868,1
1593,928,1344,1
1594,929,1323,1
1595,933,1349,1
1596,1231,1294,0
1597,918,1338,1
1598,1231,1283,0
1599,902,1307,1
1600,830,875,1
1601,1243,1292,0
1602,846,895,1
1603,901,1309,1
1604,864,896,1
1605,932,1314,1
1606,838,882,1
1607,901,1303,1
1608,927,1346,1
1609,1249,1299,0
1610,838,873,1
1611,840,871,1
1612,904,1331,1
1613,922,1350,1
1614,852,897,1
1615,921,1316,1
1616,1239,1273,0
1617,833,887,1
1618,902,1342,1
1619,919,1319,1
1620,918,1328,1
1621,825,868,1
1622,906,1334,1
1623,1226,1286,0
1624,931,1322,1
1625,910,1301,1
1626,930,1301,1
1627,914,1320,1
1628,911,1340,1
1629,860,866,1
1630,923,1341,1
1631,853,871,1
1632,845,867,1
1633,1257,1278,0
1634,914,1305,1
1635,1251,1285,0
1636,836,886,1
1637,920,1312,1
1638,1234,1298,0
1639,1262,1275,0
1640,910,1330,1
1641,924,1334,1
1642,844,868,1
1643,1259,1277,0
1644,851,890,1
1645,932,1301,1
1646,923,1349,1
1647,1239,1296,0
1648,908,1305,1
1649,849,892,1
1650,1263,1281,0
1651,842,867,1
1652,1254,1274,0
1653,1247,1292,0
1654,1235,1277,0
1655,1236,1295,0
1656,932,1342,1
1657,1228,1267,0
1658,931,1302,1
1659,862,896,1
1660,828,886,1
1661,1248,1283,0
1662,1261,1290,0
1663,858,889,1
1664,921,1306,1
1665,1261,1287,0
1666,936,1304,1
1667,922,1312,1
1668,1232,1274,0
1669,940,1302,1
1670,827,895,1
1671,940,1340,1
1672,942,1324,1
1673,843,895,1
1674,862,895,1
1675,914,1348,1
1676,913,1307,1
1677,825,890,1
1678,1259,1288,0
1679,1235,1274,0
1680,925,1329,1
1681,840,866,1
1682,829,879,1
1683,1257,1282,0
1684,859,881,1
1685,902,1324,1
1686,915,1305,1
1687,863,891,1
1688,846,880,1
1689,1246,1283,0
1690,836,875,1
1691,843,871,1
1692,909,1315,1
1693,1254,1279,0
1694,1230,1271,0
1695,901,1346,1
1696,830,896,1
1697,859,872,1
1698,932,1313,1
1699,1228,1291,0
1700,1245,1267,0
1701,1252,1281,0
1702,930,1327,1
1703,843,896,1
1704,851,868,1
1705,935,1333,1
1706,910,1305,1
1707,941,1340,1
1708,1262,1280,0
1709,918,1325,1
1710,916,1309,1
1711,922,1311,1
1712,943,1325,1
1713,935,1305,1
1714,916,1312,1
1715,1235,1268,0
1716,942,1332,1
1717,938,1345,1
1718,946,1310,1
1719,906,1350,1
1720,1239,1286,0
1721,1226,1269,0
1722,928,1330,1
1723,844,871,1
1724,927,1349,1
1725,1230,1293,0
1726,942,1317,1
1727,1258,1279,0
1728,843,881,1
1729,926,1340,1
1730,935,1346,1
1731,1263,1295,0
1732,918,1320,1
1733,1249,1284,0
1734,931,1341,1
1735,1231,1276,0
1736,932,1340,1
1737,846,883,1
1738,840,880,1
1739,904,1306,1
1740,826,897,1
1741,909,1303,1
1742,916,1336,1
1743,1251,1279,0
1744,934,1315,1
1745,1260,1295,0
1746,902,1339,1
1747,855,890,1
1748,927,1320,1
1749,1235,1272,0
1750,916,1348,1
1751,833,894,1
1752,840,874,1
1753,1235,1286,0
1754,945,1326,1
1755,942,1326,1
1756,940,1315,1
1757,831,883,1
1758,923,1308,1
1759,909,1306,1
1760,1263,1275,0
1761,1259,1276,0
1762,946,1306,1
1763,919,1324,1
1764,923,1335,1
1765,922,1349,1
1766,1259,1269,0
1767,940,1335,1
1768,919,1337,1
1769,1227,1270,0
1770,928,1341,1
1771,1230,1291,0
1772,853,892,1
1773,903,1348,1
1774,931,1312,1
1775,861,879,1
1776,830,886,1
1777,1250,1281,0
1778,846,867,1
1779,935,1337,1
1780,929,1305,1
1781,1262,1267,0
1782,920,1335,1
1783,1235,1293,0
1784,826,882,1
1785,829,893,1
1786,921,1348,1
1787,916,1339,1
1788,1235,1295,0
1789,930,1316,1
1790,943,1307,1
1791,847,873,1
1792,920,1303,1
1793,837,899,1
1794,843,892,1
1795,927,1322,1
1796,1244,1298,0
1797,930,1322,1
1798,831,879,1
1799,836,868,1
1800,942,1331,1
1801,846,868,1
1802,1232,1297,0
1803,1248,1277,0
1804,859,885,1
1805,916,1303,1
1806,1258,1289,0
1807,914,1341,1
1808,1255,1266,0
1809,1249,1286,0
1810,1255,1271,0
1811,1260,1278,0
1812,904,1308,1
1813,928,1314,1
1814,922,1321,1
1815,854,874,1
1816,938,1340,1
1817,831,875,1
1818,925,1332,1
1819,1243,1271,0
1820,938,1319,1
1821,1245,1279,0
1822,835,883,1
1823,1264,1284,0
1824,864,886,1
1825,1264,1279,0
1826,907,1338,1
1827,907,1341,1
1828,1248,1269,0
1829,848,877,1
1830,1252,1278,0
1831,1227,1297,0
1832,1236,1270,0
1833,927,1327,1
1834,917,1319,1
1835,858,871,1
1836,922,1341,1
1837,1249,1277,0
1838,1241,1277,0
1839,934,1312,1
1840,1226,1270,0
1841,1225,1273,0
1842,1235,1281,0
1843,921,1313,1
1844,1244,1299,0
1845,921,1350,1
1846,912,1349,1
1847,918,1326,1
1848,843,874,1
1849,929,1301,1
1850,827,894,1
1851,933,1302,1
1852,850,878,1
1853,862,869,1
1854,1253,1278,0
1855,924,1350,1
1856,922,1319,1
1857,916,1307,1
1858,1264,1292,0
1859,913,1312,1
1860,919,1306,1
1861,940,1332,1
1862,864,866,1
1863,838,874,1
1864,923,1346,1
1865,1251,1299,0
1866,1238,1273,0
1867,841,885,1
1868,829,896,1
1869,843,878,1
1870,911,1303,1
1871,862,890,1
1872,1258,1288,0
1873,843,876,1
1874,1238,1282,0
1875,825,873,1
1876,844,897,1
1877,945,1324,1
1878,829,869,1
1879,1232,1284,0
1880,829,889,1
1881,914,1340,1
1882,922,1339,1
1883,915,1315,1
1884,1246,1274,0
1885,1259,1268,0
1886,1238,1291,0
1887,916,1305,1
1888,915,1326,1
1889,1233,1266,0
1890,1256,1269,0
1891,860,876,1
1892,913,1303,1
1893,855,870,1
1894,1260,1271,0
1895,1232,1292,0
1896,848,881,1
1897,1251,1294,0
1898,842,897,1
1899,937,1310,1
1900,935,1314,1
1901,933,1323,1
1902,842,880,1
1903,912,1348,1
1904,860,867,1
1905,904,1328,1
1906,835,892,1
1907,928,1334,1
1908,1228,1290,0
1909,909,1346,1
1910,839,887,1
1911,901,1312,1
1912,916,1329,1
1913,908,1322,1
1914,943,1317,1
1915,1250,1266,0
1916,1256,1271,0
1917,915,1309,1
1918,915,1345,1
1919,921,1342,1
1920,1236,1297,0
1921,913,1306,1
1922,861,890,1
1923,863,892,1
1924,943,1328,1
1925,1231,1277,0
1926,936,1350,1
1927,914,1318,1
1928,1229,1283,0
1929,932,1327,1
1930,1243,1273,0
1931,850,874,1
1932,942,1335,1
1933,833,871,1
1934,1244,1273,0
1935,944,1347,1
1936,932,1344,1
1937,847,872,1
1938,1261,1272,0
1939,942,1349,1
1940,1230,1295,0
1941,908,1340,1
1942,935,1342,1
1943,840,894,1
1944,924,1339,1
1945,1257,1291,0
1946,1234,1295,0
1947,904,1321,1
1948,837,893,1
1949,944,1323,1
1950,1236,1269,0
1951,926,1323,1
1952,1231,1270,0
1953,860,875,1
1954,1233,1279,0
1955,921,1325,1
1956,826,877,1
1957,839,895,1
1958,902,1336,1
1959,1260,1296,0
1960,915,1335,1
1961,906,1328,1
1962,837,896,1
1963,925,1326,1
1964,846,866,1
1965,1232,1278,0
1966,942,1347,1
1967,840,873,1
1968,927,1324,1
1969,829,873,1
1970,851,886,1
1971,916,1343,1
1972,1241,1285,0
1973,1247,1293,0
1974,863,882,1
1975,924,1314,1
1976,935,1312,1
1977,926,1322,1
1978,863,873,1
1979,862,873,1
1980,941,1321,1
1981,913,1332,1
1982,1245,1270,0
1983,940,1341,1
1984,1254,1277,0
1985,941,1319,1
1986,849,894,1
1987,831,878,1
1988,919,1312,1
1989,1259,1296,0
1990,837,895,1
1991,1258,1268,0
1992,1245,1269,0
1993,945,1337,1
1994,911,1314,1
1995,905,1342,1
1996,1258,1273,0
1997,931,1318,1
1998,1254,1282,0
1999,1255,1289,0
2000,838,866,1
2001,919,1334,1
2002,901,1302,1
2003,936,1320,1
2004,856,877,1
2005,913,1333,1
2006,1229,1269,0
2007,914,1316,1
2008,929,1303,1
2009,919,1320,1
2010,1258,1266,0
2011,931,1327,1
2012,906,1318,1
2013,855,880,1
2014,1241,1266,0
2015,945,1314,1
2016,912,1329,1
2017,1233,1281,0
2018,919,1310,1
2019,1248,1268,0
2020,906,1338,1
2021,942,1338,1
2022,929,1326,1
2023,917,1315,1
2024,1251,1270,0
2025,839,876,1
2026,940,1331,1
2027,1258,1275,0
2028,1245,1298,0
2029,1260,1273,0
2030,1240,1293,0
2031,1237,1276,0
2032,901,1348,1
2033,1255,1299,0
2034,923,1313,1
2035,937,1323,1
2036,1238,1288,0
2037,925,1344,1
2038,917,1348,1
2039,1242,1272,0
2040,937,1302,1
2041,852,879,1
2042,1225,1296,0
2043,906,1345,1
2044,1246,1299,0
2045,926,1304,1
2046,918,1318,1
2047,929,1307,1
2048,905,1304,1
2049,911,1330,1
2050,852,880,1
2051,924,1309,1
2052,1250,1271,0
2053,832,884,1
2054,832,893,1
2055,929,1346,1
2056,1263,1271,0
2057,860,897,1
2058,857,876,1
2059,908,1343,1
2060,933,1307,1
2061,1239,1272,0
2062,840,870,1
2063,1235,1292,0
2064,941,1345,1
2065,924,1304,1
2066,833,896,1
2067,827,890,1
2068,834,884,1
2069,924,1332,1
2070,840,895,1
2071,924,1333,1
2072,914,1330,1
2073,1242,1285,0
2074,841,894,1
2075,842,890,1
2076,1227,1268,0
2077,849,896,1
2078,1260,1294,0
2079,837,898,1
2080,1237,1298,0
2081,910,1336,1
2082,831,866,1
2083,1257,1287,0
2084,836,867,1
2085,1232,1268,0
2086,903,1325,1
2087,1253,1292,0
2088,938,1335,1
2089,825,887,1
2090,937,1342,1
2091,1225,1274,0
2092,1250,1272,0
2093,851,880,1
2094,937,1344,1
2095,857,884,1
2096,841,899,1
2097,937,1340,1
2098,852,886,1
2099,937,1314,1
2100,1256,1290,0
2101,831,894,1
2102,825,886,1
2103,828,881,1
2104,1237,1268,0
2105,858,873,1
2106,863,877,1
2107,1233,1277,0
2108,909,1313,1
2109,825,884,1
2110,912,1319,1
2111,926,1307,1
2112,910,1310,1
2113,926,1315,1
2114,907,1339,1
2115,1235,1273,0
2116,1246,1273,0
2117,856,875,1
2118,1232,1287,0
2119,850,868,1
2120,851,877,1
2121,1252,1290,0
2122,846,896,1
2123,1237,1269,0
2124,830,870,1
2125,908,1304,1
2126,928,1339,1
2127,922,1322,1
2128,1241,1271,0
2129,1227,1280,0
2130,836,889,1
2131,1261,1271,0
2132,918,1330,1
2133,929,1321,1
2134,830,872,1
2135,1237,1267,0
2136,938,1337,1
2137,1230,1276,0
2138,852,891,1
2139,1252,1271,0
2140,1241,1291,0
2141,845,876,1
2142,1245,1275,0
2143,851,875,1
2144,851,885,1
2145,833,880,1
2146,841,890,1
2147,933,1328,1
2148,850,891,1
2149,856,869,1
2150,860,873,1
2151,863,871,1
2152,938,1328,1
2153,916,1331,1
2154,1225,1272,0
2155,919,1322,1
2156,928,1324,1
2157,1226,1289,0
2158,858,896,1
2159,843,888,1
2160,939,1307,1
2161,845,892,1
2162,933,1314,1
2163,919,1329,1
2164,844,879,1
2165,859,866,1
2166,931,1325,1
2167,1253,1282,0
2168,833,872,1
2169,1254,1268,0
2170,1231,1271,0
2171,937,1341,1
2172,1237,1273,0
2173,1254,1270,0
2174,913,1318,1
2175,1226,1280,0
2176,828,866,1
2177,931,1324,1
2178,857,870,1
2179,858,879,1
2180,910,1350,1
2181,909,1318,1
2182,1232,1285,0
2183,931,1333,1
2184,1226,1298,0
2185,910,1318,1
2186,833,868,1
2187,1241,1292,0
2188,901,1350,1
2189,1225,1267,0
2190,1248,1267,0
2191,828,878,1
2192,1252,1283,0
2193,912,1342,1
2194,902,1322,1
2195,918,1347,1
2196,852,888,1
2197,924,1315,1
2198,834,883,1
2199,1233,1270,0
2200,1231,1299,0
2201,1241,1283,0
2202,934,1307,1
2203,919,1326,1
2204,926,1335,1
2205,921,1301,1
2206,913,1330,1
2207,912,1326,1
2208,926,1318,1
2209,1252,1266,0
2210,1257,1271,0
2211,833,889,1
2212,1243,1289,0
2213,858,882,1
2214,934,1310,1
2215,906,1337,1
2216,1253,1288,0
2217,910,1307,1
2218,1251,1274,0
2219,928,1305,1
2220,1245,1299,0
2221,929,1337,1
2222,853,883,1
2223,1242,1288,0
2224,1238,1272,0
2225,943,1318,1
2226,836,887,1
2227,1259,1275,0
2228,903,1347,1
2229,923,1333,1
2230,944,1340,1
2231,837,876,1
2232,933,1319,1
2233,936,1329,1
2234,837,889,1
2235,1226,1299,0
2236,847,897,1
2237,834,898,1
2238,853,889,1
2239,852,867,1
2240,1236,1278,0
2241,919,1323,1
2242,1241,1273,0
2243,837,881,1
2244,922,1306,1
2245,916,1324,1
2246,945,1331,1
2247,927,1312,1
2248,937,1332,1
2249,932,1307,1
2250,927,1332,1
2251,838,868,1
2252,1230,1283,0
2253,1247,1290,0
2254,906,1329,1
2255,1228,1298,0
2256,943,1340,1
2257,1250,1269,0
2258,857,885,1
2259,928,1343,1
2260,850,883,1
2261,849,889,1
2262,1247,1273,0
2263,1252,1270,0
2264,919,1328,1
2265,827,867,1
2266,909,1319,1
2267,842,893,1
2268,924,1344,1
2269,1237,1286,0
2270,855,884,1
2271,851,895,1
2272,919,1307,1
2273,929,1322,1
2274,835,895,1
2275,933,1317,1
2276,909,1333,1
2277,1252,1269,0
2278,943,1321,1
2279,943,1311,1
2280,1258,1283,0
2281,842,871,1
2282,852,884,1
2283,1235,1270,0
2284,825,879,1
2285,923,1342,1
2286,932,1350,1
2287,864,879,1
2288,933,1320,1
2289,1241,1286,0
2290,1228,1273,0
2291,931,1304,1
2292,931,1309,1
2293,834,882,1
2294,857,883,1
2295,1238,1298,0
2296,929,1311,1
2297,936,1328,1
2298,924,1325,1
2299,940,1327,1
2300,924,1313,1
2301,922,1329,1
2302,1263,1299,0
2303,940,1307,1
2304,835,885,1
2305,830,866,1
2306,1240,1292,0
2307,839,896,1
2308,916,1342,1
2309,1248,1276,0
2310,933,1326,1
2311,925,1348,1
2312,1225,1283,0
2313,1252,1292,0
2314,1233,1291,0
2315,939,1310,1
2316,1256,1282,0
2317,945,1335,1
2318,849,869,1
2319,847,876,1
2320,1261,1280,0
2321,1237,1289,0
2322,1242,1295,0
2323,1240,1279,0
2324,1225,1277,0
2325,943,1343,1
2326,938,1308,1
2327,946,1325,1
2328,839,883,1
2329,1241,1293,0
2330,835,896,1
2331,1245,1294,0
2332,941,1315,1
2333,1230,1267,0
2334,936,1301,1
2335,827,878,1
2336,1250,1299,0
2337,853,869,1
2338,1243,1272,0
2339,835,893,1
2340,1248,1293,0
2341,940,1324,1
2342,938,1327,1
2343,939,1317,1
2344,839,877,1
2345,1232,1294,0
2346,862,892,1
2347,944,1326,1
2348,1261,1283,0
2349,844,898,1
2350,905,1320,1
2351,921,1332,1
2352,860,884,1
2353,857,899,1
2354,1244,1267,0
2355,901,1314,1
2356,923,1316,1
2357,910,1344,1
2358,943,1324,1
2359,910,1319,1
2360,921,1310,1
2361,859,884,1
2362,835,891,1
2363,939,1329,1
2364,859,891,1
2365,931,1329,1
2366,1255,1273,0
2367,851,881,1
2368,901,1330,1
2369,1264,1276,0
2370,908,1313,1
2371,932,1334,1
2372,942,1306,1
2373,905,1316,1
2374,928,1302,1
2375,1264,1271,0
2376,1228,1270,0
2377,904,1327,1
2378,1240,1280,0
2379,1229,1267,0
2380,862,867,1
2381,1253,1275,0
2382,931,1343,1
2383,840,887,1
2384,826,898,1
2385,1246,1278,0
2386,907,1307,1
2387,931,1311,1
2388,925,1342,1
2389,847,883,1
2390,937,1328,1
2391,922,1347,1
2392,846,873,1
2393,836,869,1
2394,919,1314,1
2395,908,1311,1
2396,917,1324,1
2397,826,899,1
2398,903,1340,1
2399,1257,1270,0
2400,902,1335,1
2401,1238,1277,0
2402,1252,1296,0
2403,1237,1266,0
2404,1258,1267,0
2405,1239,1298,0
2406,849,872,1
2407,936,1349,1
2408,946,1317,1
2409,1249,1274,0
2410,840,888,1
2411,1233,1292,0
2412,830,874,1
2413,1257,1275,0
2414,1250,1283,0
2415,842,869,1
2416,849,883,1
2417,841,897,1
2418,910,1341,1
2419,845,888,1
2420,857,878,1
2421,929,1342,1
2422,908,1335,1
2423,848,884,1
2424,847,892,1
2425,1249,1267,0
2426,1257,1269,0
2427,856,886,1
2428,941,1322,1
2429,902,1326,1
2430,912,1308,1
2431,921,1303,1
2432,1239,1284,0
2433,906,1321,1
2434,1225,1269,0
2435,937,1309,1
2436,1246,1286,0
2437,1228,1276,0
2438,914,1319,1
2439,1257,1267,0
2440,945,1327,1
2441,837,868,1
2442,1242,1283,0
2443,1231,1282,0
2444,1242,1297,0
2445,917,1326,1
2446,1228,1274,0
2447,921,1302,1
2448,913,1316,1
2449,912,1350,1
2450,856,898,1
2451,1234,1285,0
2452,938,1334,1
2453,842,899,1
2454,851,872,1
2455,936,1348,1
2456,929,1350,1
2457,1244,1282,0
2458,1244,1269,0
2459,858,895,1
2460,828,889,1
2461,901,1341,1
2462,1240,1295,0
2463,902,1329,1
2464,861,878,1
2465,946,1330,1
2466,929,1331,1
2467,935,1344,1
2468,1228,1271,0
2469,859,874,1
2470,827,886,1
2471,1253,1294,0
2472,1254,1275,0
2473,937,1320,1
2474,1264,1273,0
2475,927,1339,1
2476,936,1335,1
2477,926,1314,1
2478,1258,1291,0
2479,944,1328,1
2480,941,1312,1
2481,939,1303,1
2482,915,1302,1
2483,909,1323,1
2484,1242,1287,0
2485,916,1311,1
2486,1236,1292,0
2487,1233,1293,0
2488,1248,1279,0
2489,921,1335,1
2490,864,882,1
2491,902,1301,1
2492,853,894,1
2493,918,1302,1
2494,907,1305,1
2495,827,882,1
2496,863,878,1
2497,916,1349,1
2498,862,866,1
2499,829,870,1
2500,1227,1285,0
2501,916,1302,1
2502,909,1350,1
2503,832,876,1
2504,913,1301,1
2505,1256,1295,0
2506,902,1345,1
2507,931,1319,1
2508,1260,1283,0
2509,838,879,1
2510,903,1344,1
2511,847,886,1
2512,907,1312,1
2513,939,1311,1
2514,852,893,1
2515,921,1326,1
2516,1263,1278,0
2517,1254,1269,0
2518,923,1309,1
2519,837,880,1
2520,847,870,1
2521,943,1304,1
2522,1225,1279,0
2523,939,1313,1
2524,857,895,1
2525,928,1311,1
2526,1235,1276,0
2527,1246,1288,0
2528,847,867,1
2529,914,1344,1
2530,851,894,1
2531,853,884,1
2532,934,1335,1
2533,925,1346,1
2534,1242,1294,0
2535,853,867,1
2536,1261,1288,0
2537,864,894,1
2538,1236,1289,0
2539,846,893,1
2540,902,1343,1
2541,848,873,1
2542,931,1340,1
2543,919,1344,1
2544,858,884,1
2545,908,1326,1
2546,1264,1288,0
2547,852,866,1
2548,853,877,1
2549,938,1330,1
2550,1249,1297,0
2551,938,1304,1
2552,838,877,1
2553,917,1330,1
2554,825,883,1
2555,924,1330,1
2556,942,1329,1
2557,938,1311,1
2558,921,1337,1
2559,945,1302,1
2560,849,875,1
2561,845,887,1
2562,1258,1299,0
2563,1231,1290,0
2564,842,874,1
2565,1230,1287,0
2566,1259,1291,0
2567,1256,1275,0
2568,1252,1276,0
2569,843,879,1
2570,842,887,1
2571,1255,1292,0
2572,925,1327,1
2573,1264,1266,0
2574,946,1302,1
2575,854,891,1
2576,1264,1272,0
2577,1256,1292,0
2578,825,896,1
2579,938,1347,1
2580,834,878,1
2581,843,868,1
2582,928,1348,1
2583,935,1329,1
2584,1247,1297,0
2585,1246,1285,0
2586,1240,1290,0
2587,1263,1287,0
2588,1226,1291,0
2589,910,1333,1
2590,1239,1279,0
2591,1238,1269,0
2592,937,1319,1
2593,1236,1267,0
2594,918,1336,1
2595,911,1304,1
2596,935,1321,1
2597,925,1318,1
2598,1248,1290,0
2599,930,1318,1
2600,858,892,1
2601,853,888,1
2602,942,1320,1
2603,908,1318,1
2604,911,1350,1
2605,925,1343,1
2606,1263,1276,0
2607,903,1323,1
2608,1258,1272,0
2609,936,1345,1
2610,941,1341,1
2611,901,1305,1
2612,1249,1276,0
2613,845,894,1
2614,1245,1282,0
2615,854,869,1
2616,946,1326,1
2617,1242,1278,0
2618,920,1340,1
2619,928,1307,1
2620,935,1318,1
2621,831,891,1
2622,1237,1279,0
2623,1242,1292,0
2624,945,1348,1
2625,843,887,1
2626,1235,1266,0
2627,901,1301,1
2628,834,868,1
2629,923,1312,1
2630,827,873,1
2631,1243,1283,0
2632,843,890,1
2633,939,1309,1
2634,856,883,1
2635,840,892,1
2636,844,894,1
2637,1261,1268,0
2638,826,881,1
2639,915,1303,1
2640,834,874,1
2641,907,1308,1
2642,913,1337,1
2643,1252,1282,0
2644,839,897,1
2645,1241,1280,0
2646,1258,1286,0
2647,854,892,1
2648,841,873,1
2649,902,1312,1
2650,908,1347,1
2651,906,1324,1
2652,917,1313,1
2653,863,887,1
2654,827,866,1
2655,1253,1280,0
2656,908,1308,1
2657,1244,1295,0
2658,855,873,1
2659,911,1316,1
2660,944,1311,1
2661,905,1336,1
2662,913,1331,1
2663,920,1331,1
2664,857,882,1
2665,827,876,1
2666,942,1325,1
2667,1251,1284,0
2668,859,873,1
2669,1227,1275,0
2670,934,1330,1
2671,829,892,1
2672,903,1320,1
2673,857,866,1
2674,931,1328,1
2675,915,1332,1
2676,844,885,1
2677,913,1336,1
2678,1248,1296,0
2679,1256,1285,0
2680,1255,1268,0
2681,917,1335,1
2682,941,1313,1
2683,837,879,1
2684,1228,1286,0
2685,1247,1281,0
2686,1255,1285,0
2687,1244,1276,0
2688,907,1314,1
2689,925,1317,1
2690,1248,1294,0
2691,931,1313,1
2692,1250,1286,0
2693,853,866,1
2694,925,1323,1
2695,832,874,1
2696,1254,1285,0
2697,906,1308,1
2698,906,1304,1
2699,910,1329,1
2700,1234,1266,0
2701,920,1344,1
2702,924,1308,1
2703,1247,1275,0
2704,916,1313,1
2705,1229,1293,0
2706,1250,1280,0
2707,857,872,1
2708,924,1342,1
2709,911,1348,1
2710,851,892,1
2711,1234,1293,0
2712,909,1334,1
2713,903,1328,1
2714,1248,1286,0
2715,914,1322,1
2716,931,1315,1
2717,933,1305,1
2718,850,867,1
2719,936,1325,1
2720,917,1308,1
2721,922,1338,1
2722,1227,1288,0
2723,928,1310,1
2724,936,1312,1
2725,833,893,1
2726,902,1332,1
2727,828,898,1
2728,843,866,1
2729,932,1345,1
2730,1256,1280,0
2731,909,1349,1
2732,850,885,1
2733,938,1344,1
2734,852,883,1
2735,927,1337,1
2736,916,1314,1
2737,1233,1296,0
2738,905,1335,1
2739,1241,1299,0
2740,826,893,1
2741,833,879,1
2742,915,1318,1
2743,920,1318,1
2744,1245,1290,0
2745,932,1305,1
2746,924,1301,1
2747,1259,1286,0
2748,861,880,1
2749,910,1339,1
2750,830,881,1
2751,914,1317,1
2752,935,1350,1
2753,922,1334,1
2754,1249,1285,0
2755,909,1312,1
2756,914,1310,1
2757,832,886,1
2758,939,1337,1
2759,916,1350,1
2760,1244,1270,0
2761,934,1311,1
2762,853,878,1
2763,853,874,1
2764,859,898,1
2765,1260,1291,0
2766,944,1346,1
2767,911,1335,1
2768,854,894,1
2769,837,877,1
2770,864,872,1
2771,1247,1278,0
2772,1226,1271,0
2773,853,895,1
2774,915,1338,1
2775,1233,1272,0
2776,925,1312,1
2777,840,868,1
2778,841,875,1
2779,833,882,1
2780,831,881,1
2781,917,1349,1
2782,923,1336,1
2783,1256,1288,0
2784,922,1346,1
2785,928,1322,1
2786,834,891,1
2787,847,868,1
2788,931,1335,1
2789,908,1329,1
2790,901,1324,1
2791,831,898,1
2792,908,1331,1
2793,1258,1274,0
2794,826,872,1
2795,1235,1299,0
2796,848,866,1
2797,942,1311,1
2798,1247,1289,0
2799,943,1347,1
2800,1244,1283,0
2801,826,874,1
2802,1242,1298,0
2803,934,1308,1
2804,941,1307,1
2805,930,1315,1
2806,832,880,1
2807,926,1316,1
2808,837,871,1
2809,926,1338,1
2810,930,1308,1
2811,1246,1276,0
2812,1255,1297,0
2813,921,1336,1
2814,1242,1268,0
2815,1253,1291,0
2816,932,1312,1
2817,829,880,1
2818,923,1331,1
2819,927,1303,1
2820,918,1329,1
2821,831,889,1
2822,928,1320,1
2823,852,871,1
2824,917,1311,1
2825,911,1322,1
2826,1229,1273,0
2827,1246,1292,0
2828,910,1342,1
2829,1231,1274,0
2830,913,1304,1
2831,1239,1274,0
2832,838,884,1
2833,904,1341,1
2834,1228,1282,0
2835,859,892,1
2836,902,1331,1
2837,1255,1290,0
2838,913,1325,1
2839,942,1302,1
2840,920,1314,1
2841,852,889,1
2842,839,880,1
2843,946,1305,1
2844,1262,1269,0
2845,927,1313,1
2846,826,890,1
2847,1260,1272,0
2848,1240,1294,0
2849,1252,1289,0
2850,844,884,1
2851,932,1306,1
2852,940,1310,1
2853,905,1345,1
2854,906,1348,1
2855,905,1323,1
2856,1254,1284,0
2857,1233,1288,0
2858,918,1313,1
2859,912,1347,1
2860,1225,1276,0
2861,925,1349,1
2862,942,1348,1
2863,928,1303,1
2864,828,869,1
2865,928,1317,1
2866,1238,1292,0
2867,939,1334,1
2868,1250,1298,0
2869,938,1313,1
2870,838,880,1
2871,942,1327,1
2872,1250,1274,0
2873,1234,1279,0
2874,902,1341,1
2875,1226,1293,0
2876,928,1333,1
2877,855,876,1
2878,1250,1267,0
2879,943,1336,1
2880,1254,1271,0
2881,1257,1279,0
2882,1241,1267,0
2883,856,876,1
2884,843,867,1
2885,861,870,1
2886,923,1302,1
2887,902,1308,1
2888,929,1343,1
2889,910,1320,1
2890,1254,1289,0
2891,935,1322,1
2892,843,877,1
2893,844,866,1
2894,944,1341,1
2895,828,891,1
